cell,load_pf,tphl_ns,tplh_ns,avg_delay_ns
invx1,0.0094,0.05515857,0.06459315,0.05987586
invx2,0.0094,0.03800729,0.04777681,0.04289205
invx4,0.0094,0.02663537,0.03635775,0.03149656
invx8,0.0094,0.01931612,0.02917704,0.02424658
